Column1;ISIN;Company_Name;Country;Component;FF Mcap (BEUR);Factset_sector;Sector;TR_16;TR_17;TR_18;TR_19;TR_20;ctp_16;ctp_17;ctp_18;ctp_19;ctp_20;ptx_inc_16;ptx_inc_17;ptx_inc_18;ptx_inc_19;ptx_inc_20;SUS_ENV;SUS_SOC;SUS_GOV;SUS_CARBON;FTSE_ESG;FTSE_ESG_DATE
1;US0378331005;Apple Inc.;US;Large;16504;Electronic Technology;Information Technology;25.55725738;24.55647615;18.34218071;15.9438368;14.42816473;10444;11591;10417;15263;9501;61372;64089;72903;65737;67091;16.91665875;7.987507;8.644527;912676;3.8;06/21/2021
2;US5949181045;Microsoft Corp.;US;Large;1513;Technology Services;Information Technology;14.95114171;14.75535935;54.56763722;10.18128548;16.50765518;3900;2400;5500;8400;12500;19751;29901;36474;43688;53036;13.25771031;8.061940;4.732270;3669965;4.2;06/21/2021
3;US0231351067;Amazon.com Inc.;US;Large;11217;Retail Trade;Consumer Discretionary;36.61356629;20.20493957;10.62960661;16.98626216;11.84134337;412;957;1184;881;1713;3892;3806;11261;13976;24178;30.03220313;14.245063;9.841875;11260000;3;06/21/2021
4;US30303M1027;FACEBOOK CLASS A;US;Large;6024;Technology Services;Communication Services;18.3815306;22.62794989;12.81100903;25.49975818;12.15792646;1210;2117;3762;5182;4229;12518;20594;25361;24812;33180;28.785105;17.190926;10.481554;1928600;3.5;06/21/2021
5;US02079K1079;ALPHABET CLASS C;US;Large;5467;Technology Services;Communication Services;19.34575569;53.43654617;11.96402486;13.32996845;16.24932407;1643;6191;5671;8203;4990;24150;27193;34913;39625;48082;22.8884125;10.786460;11.618578;5183635;3.2;06/21/2021
6;US88160R1014;TESLA;US;Large;4418;Consumer Durables;Consumer Discretionary;#N/B;#N/B;#N/B;#N/B;25.30329289;16.385;65.695;35.409;54;115;-746.348;-2209.032;-1004.745;-665;1154;28.53825313;16.156228;9.608756;907668.45;2.5;06/21/2021
7;TW0002330008;TSMC;TW;Large;4249;Electronic Technology;#N/B;13.49700199;13.47744482;11.74434415;11.49906948;11.46264462;45943.301;63620.382;45382.523;52044.071;51362.365;382463.78;393147.089;394452.482;387001.114;581184.362;14.41126875;3.685922;5.198583;8769614;4.4;06/21/2021
8;US46625H1005;JPMorgan Chase & Co.;US;Large;3948;Finance;Financials;28.38487375;31.91922006;20.33657148;18.21528791;17.72530855;2405;4325;3542;5624;7661;34536;35900;40764;44545;35407;27.99958594;16.345173;10.551163;773954;3;06/21/2021
9;US4781601046;Johnson & Johnson;US;Large;3681;Health Technology;Health Care;16.47730142;92.64414644;15.01194511;12.74815328;10.8080257;2843;3312;4570;4191;4619;19803;17673;17999;17328;16497;29.01594938;20.034362;8.234212;1063692;4.3;06/21/2021
10;KR7005930003;Samsung Electronics Co Ltd;KR;Large;3148;Electronic Technology;#N/B;26.00654588;24.92922668;27.4936438;28.95918479;27.72789284;6132064;6827098;12449441;13221099;4770355;30713652;56195967;61159958;30019229;35838587;23.01582188;8.157216;13.890994;13800000;4;06/21/2021
11;US92826C8394;VISA Inc. Cl A;US;Large;3055;Finance;Information Technology;25.22466301;42.71421242;19.56114321;18.83902177;21.20377085;2842;3038;2285;2648;2671;8012;11694;12806;14884;13790;#N/B;#N/B;#N/B;#N/B;3.6;06/21/2021
12;US91324P1021;UnitedHealth Group Inc.;US;Large;3004;Health Services;Health Care;40.37764478;22.81965343;22.34069242;20.8108559;23.97550863;4726;4004;3257;3542;4935;11863;14023;15944;17981;20742;17.43914;11.516040;5.891600;170713;3;06/21/2021
13;US0846707026;Berkshire Hathaway Inc. Cl B;US;Large;298;Finance;Financials;27.44527282;-90.25505495;-8.022994251;20.35522318;22.33673891;4719;3286;4354;5415;7195;33667;23838;4001;102696;55693;16.34523125;3.796613;11.973119;185499744.1;1.1;06/21/2021
14;US2546871060;Walt Disney Co.;US;Large;2848;Consumer Services;Communication Services;34.15388754;32.07136641;11.2906511;21.73382173;#N/B;4133;3801;2503;9259;738;14868;13788;14729;13923;-1743;14.89244844;7.059800;7.765148;1865380;3;06/21/2021
15;US7427181091;Procter & Gamble Co.;US;Large;2838;Consumer Non-Durables;Consumer Staples;24.99813;23.10477484;26.00180099;34.65150766;17.24769483;3730;3714;2830;3064;3550;13369;13257;13326;6069;15834;26.9689525;10.306440;7.356337;4050000;3.3;06/21/2021
16;US67066G1040;NVIDIA Corp.;US;Large;2812;Electronic Technology;Information Technology;17.36204576;12.54593176;4.662077597;-6.288501027;5.858585859;14;14;22;61;176;743;1905;3196;3896;2970;#N/B;#N/B;#N/B;#N/B;3.5;06/21/2021
