SIZE,PTI,CTP,ROA,PERF,LTD,CETR_s,CETR_3_s,str,FOR,ESG
1***,0.44***,0.5***,-0.05 ,0 ,0.23***,0.08**,0.07*,-0.11***,-0.04 ,0.33***
0.44***,1***,0.76***,0.13***,0.15***,0.04 ,0.05 ,0.03 ,-0.02 ,-0.02 ,0.18***
0.5***,0.76***,1***,0.01 ,0.02 ,0.04 ,0.16***,0.13***,0.02 ,-0.03 ,0.22***
-0.05*,0.13***,0.01 ,1***,0.87***,-0.09***,0.08**,0.03 ,-0.07**,0.04 ,-0.16***
0 ,0.15***,0.02 ,0.87***,1***,-0.04 ,0.06 ,0.02 ,-0.05 ,0.03 ,-0.16***
0.23***,0.04*,0.04*,-0.09***,-0.04 ,1***,-0.02 ,-0.01 ,-0.07**,0 ,0.11***
0.08***,0.05*,0.16***,0.08***,0.06**,-0.02 ,1***,0.27***,-0.13***,0.22***,0.1**
0.07***,0.03 ,0.13***,0.03 ,0.02 ,-0.01 ,0.27***,1***,-0.11***,0.01 ,0.07 
-0.11***,-0.02 ,0.02 ,-0.07***,-0.05**,-0.07***,-0.13***,-0.11***,1***,0.06*,-0.04 
-0.04 ,-0.02 ,-0.03 ,0.04*,0.03 ,0 ,0.22***,0.01 ,0.06***,1***,-0.08*
0.33***,0.18***,0.22***,-0.16***,-0.16***,0.11***,0.1***,0.07**,-0.04 ,-0.08***,1***
