SIZE,PTI,CTP,ROA,PERF,LTD,CETR,CETR_3_s,str,FOR,ESG,REP,sdg01,sdg02,sdg03,sdg04,sdg05,sdg06,sdg07,sdg08,sdg09,sdg10,sdg11,sdg12,sdg13,sdg14,sdg15,sdg16,sdg17,sdg,gc,gri,int,report,sdg_total,sdg_themes,SDG,GC,GRI,INT
1***,0.41***,0.48***,-0.13 ,-0.05 ,0.21***,0.08 ,0.07 ,-0.1 ,-0.12 ,0.3***,0.32***,0.19**,0.04 ,0.11 ,0.13 ,0.13 ,0.04 ,0.3***,0.24***,0.1 ,0.15 ,0.1 ,0.08 ,0.33***,0.02 ,0.2***,0.18**,0.2***,0.17**,0.09 ,0.17*,0.11 ,0.32***,0.07 ,0.37***,0.33***,0.16*,0.27***,0.14 
0.41***,1***,0.73***,0.16*,0.17*,-0.04 ,0.06 ,0.06 ,0.03 ,-0.01 ,0.18*,0.15 ,0.04 ,-0.05 ,0.02 ,0.08 ,0.05 ,0.04 ,0.27***,0.11 ,0.08 ,0.1 ,0.02 ,0.03 ,0.15 ,0 ,0.1 ,0.1 ,0.08 ,0.16 ,0.08 ,0.05 ,-0.02 ,0.15 ,0.02 ,0.17**,0.18**,0.05 ,0.16 ,-0.01 
0.48***,0.73***,1***,0 ,0.01 ,0.06 ,0.26***,0.19**,0.06 ,-0.06 ,0.22***,0.19**,0.08 ,0.02 ,0.04 ,0.08 ,0.08 ,0.07 ,0.23***,0.12 ,0.1 ,0.08 ,0.04 ,0.05 ,0.16*,-0.01 ,0.19**,0.08 ,0.12 ,0.14 ,0.1 ,0.09 ,-0.02 ,0.19**,0.02 ,0.24***,0.23***,0.12 ,0.18**,0.02 
-0.13**,0.16***,0 ,1***,0.9***,-0.2**,0.05 ,0.08 ,-0.08 ,0.12 ,-0.12 ,0.05 ,-0.03 ,0 ,0.02 ,0 ,0 ,0.09 ,-0.03 ,-0.01 ,-0.01 ,0.04 ,-0.03 ,-0.01 ,-0.09 ,0.01 ,-0.05 ,-0.01 ,-0.05 ,-0.01 ,0.02 ,-0.06 ,-0.02 ,0.05 ,-0.03 ,0 ,-0.01 ,0 ,0.01 ,-0.01 
-0.05 ,0.17***,0.01 ,0.9***,1***,-0.11 ,0.03 ,0.06 ,-0.07 ,0.11 ,-0.12 ,0.09 ,-0.02 ,-0.02 ,0.02 ,0.02 ,-0.02 ,0.06 ,-0.02 ,0.02 ,-0.01 ,0.02 ,-0.02 ,-0.01 ,-0.05 ,0 ,-0.07 ,0.01 ,-0.06 ,0 ,0.01 ,-0.06 ,0.01 ,0.09 ,-0.04 ,0.02 ,0.03 ,0.03 ,0.06 ,0.03 
0.21***,-0.04 ,0.06 ,-0.2***,-0.11**,1***,-0.05 ,-0.06 ,-0.02 ,-0.01 ,0.13 ,0.03 ,-0.01 ,0.05 ,0.05 ,0 ,0.06 ,0.05 ,0.04 ,0.15 ,0.06 ,0.08 ,-0.02 ,-0.03 ,0.08 ,0.1 ,-0.02 ,0.03 ,0.01 ,0.05 ,0 ,0.1 ,0.02 ,0.03 ,-0.02 ,0.06 ,0.01 ,-0.02 ,0.01 ,0 
0.08 ,0.06 ,0.26***,0.05 ,0.03 ,-0.05 ,1***,0.28***,0.09 ,0.12 ,0.11 ,0.08 ,0.08 ,-0.02 ,0.02 ,0 ,0.04 ,0 ,0.02 ,-0.01 ,0.02 ,-0.04 ,0.03 ,0.12 ,0.01 ,0.02 ,0.05 ,0.02 ,0.06 ,0.05 ,0.04 ,-0.12 ,-0.01 ,0.08 ,0.04 ,0.09 ,0.09 ,0.07 ,0.04 ,0.02 
0.07 ,0.06 ,0.19***,0.08 ,0.06 ,-0.06 ,0.28***,1***,-0.17 ,0.04 ,0.04 ,0.07 ,0.04 ,0.04 ,0.02 ,0.05 ,0.03 ,0.09 ,0.06 ,0.03 ,0.05 ,0.06 ,0.03 ,0.09 ,0.07 ,0.03 ,0.12 ,0.04 ,0.07 ,0.14 ,0.02 ,0.09 ,-0.01 ,0.07 ,0.02 ,0.09 ,0.12 ,0.06 ,0.07 ,0.04 
-0.1*,0.03 ,0.06 ,-0.08 ,-0.07 ,-0.02 ,0.09*,-0.17***,1***,0.14 ,0.01 ,-0.12 ,-0.02 ,0.03 ,-0.06 ,-0.11 ,-0.05 ,-0.06 ,-0.07 ,-0.1 ,-0.05 ,-0.1 ,-0.02 ,-0.05 ,-0.12 ,-0.08 ,0.02 ,-0.12 ,-0.06 ,-0.09 ,-0.01 ,-0.11 ,-0.06 ,-0.12 ,0.01 ,-0.17*,-0.18**,-0.09 ,-0.18**,-0.04 
-0.12**,-0.01 ,-0.06 ,0.12**,0.11**,-0.01 ,0.12**,0.04 ,0.14***,1***,-0.08 ,-0.02 ,-0.02 ,0 ,0.06 ,-0.03 ,0.04 ,0.05 ,-0.02 ,-0.07 ,-0.05 ,-0.06 ,-0.03 ,0 ,-0.04 ,0.22***,-0.04 ,0.05 ,-0.06 ,0.01 ,0 ,-0.01 ,-0.05 ,-0.02 ,-0.03 ,-0.04 ,-0.05 ,-0.04 ,-0.02 ,-0.06 
