"","ISIN","Country","year","str","PTI","SI","TXT","CTP","cetr_5","diff_c","cetr_5_s","etr_5","diff_e","etr_5_s","ASSETS","LTD","RD","PTI_FOREIGN","ROA","FTSE_ESG_a","ESG","Sector","CAPEX","mean_ROA","n","median_ROA","ctrygrp","PERF","cetr","LEV","RDS","SIZE","FOREIGN","FOR","BTD","sdg01","sdg02","sdg03","sdg04","sdg05","sdg06","sdg07","sdg08","sdg09","sdg10","sdg11","sdg12","sdg13","sdg14","sdg15","sdg16","sdg17","sdg","gc","gri","int","report","sdg_total","s_themes","SDG","GC","GRI","INT"
"1","BE0003565737","BE",2016,0.3399,3388.28214,0,732.3025715,519.9127018,0.174110893,-631.7643975,-0.135473116,0.235512976,-419.3745278,-0.074071033,290267.1906,286.7488621,NA,NA,1.16120374,3.6,62,"FINANCIAL","#Calc",2.08509234842,51,0.847694817,"EUR",-0.92388860842,0.153444335600695,0.000987879000403982,NA,12.5785571246797,0,0,-0.00175147569987243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no report",0,0,"noSDG","no GC-member","no GRI","no report<IR>"
"2","BE0003565737","BE",2020,0.25,2118.072574,0,463.9696113,638.3857059,0.486543493,108.8675624,0.208310199,0.194666678,-65.54853231,-0.083566616,392445.0855,292.5411882,NA,583.6669312,0.607851027,4.7,97,"FINANCIAL","#Calc",2.56631717723529,51,0.887665161,"EUR",-1.95846615023529,0.301399354175293,0.00074543216110678,NA,12.8801518968622,1,0.275565123860577,-0.00161319519050265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no report",0,0,"noSDG","no GC-member","no GRI","no report<IR>"
"3","BE0003739530","BE",2016,0.3399,845.1346898,-25.44253647,220.1332504,538.7180549,0.215133031,251.4567738,-0.08841807,0.19123326,-67.12803071,-0.112317841,10771.10665,28.67120344,1128.321183,NA,7.218442933,3.3,76,"DRUGS, COSMETICS & HEALTH CARE","#Calc",3.27765873091667,36,6.112859282,"EUR",3.94078420208333,0.637434554990858,0.00266186236676062,0.104754434215912,9.28462251788935,0,0,-0.0497484111430063,1,0,7,0,0,0,3,2,0,1,0,0,3,0,0,3,4,12,1,13,0,"report",10,8,"SDG","GC-member","GRI","no report<IR>"
"4","BE0003739530","BE",2020,0.25,1000.897589,0,135.6569625,82.07816219,0.156162684,-168.146235,-0.182026848,0.155622418,-114.5674347,-0.182567114,16296.46194,37.7802228,1788.619951,NA,7.196721311,3.7,87,"DRUGS, COSMETICS & HEALTH CARE","#Calc",5.04721129911111,36,6.2003189055,"EUR",2.14951001188889,0.0820045558027616,0.00231830828919176,0.109755108660107,9.69870330433846,0,0,-0.00488301807536391,2,0,7,0,0,0,1,0,0,1,0,0,2,0,1,6,5,22,0,40,0,"report",14,8,"SDG","no GC-member","GRI","no report<IR>"
"5","BE0974293251","BE",2016,0.3399,4317.999984,0,1612.999994,3255.999988,0.374305894,1788.311794,0.063092802,0.292064263,145.3117995,-0.019148829,261138.9915,172.0559582,0,NA,2.091500508,3.2,82,"BEVERAGES","#Calc",9.06036894222222,9,7.697758787,"EUR",-6.96886843422222,0.754052802238269,0.000658867361062011,0,12.4728080790414,0,0,-0.012412252522827,2,3,0,0,0,5,1,3,0,0,0,0,2,0,3,3,5,8,0,3,0,"report",14,9,"SDG","no GC-member","GRI","no report<IR>"
"6","BE0974293251","BE",2020,0.25,1923.000088,0,1932.000089,2306.000106,0.357956905,1825.250084,0.138665896,0.346504674,1451.250067,0.127213665,228180.9929,144.8959191,0,NA,0.846049559,3.4,66,"BEVERAGES","#Calc",5.46962962911111,9,3.530821676,"EUR",-4.62358007011111,1.19916796696475,0.000635004332562881,0,12.3378944215301,0,0,-0.010084944309049,1,0,16,0,2,11,10,4,0,2,0,0,10,0,8,0,8,10,0,2,0,"report",36,10,"SDG","no GC-member","GRI","no report<IR>"
"7","CH0008742519","CH",2016,0.21148581,2023.008062,0,391.8118975,332.9386072,0.168798062,-94.89889131,-0.042687748,0.15929483,-36.02560101,-0.05219098,21108.8696,125.4682223,0,NA,9.356148628,3.6,71,NA,"#Calc",NA,NA,NA,"EUR",NA,0.164576016009965,0.00594386268320119,0,9.95744859132714,0,0,-0.0155697694117033,0,0,2,1,0,0,53,0,0,0,0,0,5,0,8,3,5,3,0,39,0,"report",15,7,"SDG","no GC-member","GRI","no report<IR>"
"8","CH0008742519","CH",2020,0.21148581,1912.394506,0,288.7236273,329.2088592,0.236521402,-75.23544188,0.024917652,0.214839796,-115.7206738,0.003236047,27447.25286,95.15279241,NA,NA,7.400688532,4,77,NA,"#Calc",NA,NA,NA,"EUR",NA,0.172144846770439,0.00346675104045367,NA,10.2200213639696,0,0,-0.0118468838337721,1,0,0,0,2,0,37,0,0,11,0,1,5,0,9,3,10,13,0,47,0,"report",55,9,"SDG","no GC-member","GRI","no report<IR>"
"9","CH0012032048","CH",2016,0.21148581,13202.84288,0,3323.295732,3794.282054,0.238746101,1002.068134,0.027260291,0.207491282,531.0818114,-0.003994528,75583.21308,93.49253482,11705.6342,NA,17.04919322,4.1,94,"DRUGS, COSMETICS & HEALTH CARE","#Calc",3.27765873091667,36,6.112859282,"EUR",13.7715344890833,0.287383716407598,0.00123694840441679,0.154870820159634,11.2329894883047,0,0,-0.0498306404466525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,"report",0,1,"noSDG","GC-member","no GRI","no report<IR>"
"10","CH0012032048","CH",2020,0.21148581,19140.99147,0,3086.46623,3447.637115,0.24800862,-600.4109709,0.036475091,0.215799485,-961.5818553,0.004265957,97446.68482,42.40664814,13859.79951,NA,21.23276743,4.5,97,"DRUGS, COSMETICS & HEALTH CARE","#Calc",5.04721129911111,36,6.2003189055,"EUR",16.1855561308889,0.18011800070041,0.000435177945954057,0.142229564151939,11.4870606850651,0,0,-0.0349643155171591,0,0,8,1,1,1,9,0,0,1,0,0,4,0,1,2,4,15,1,10,0,"report",10,10,"SDG","GC-member","GRI","no report<IR>"
"11","CH0012138530","CH",2016,0.21148581,-2300.118549,0,447.6400176,671.9675548,0.3026599,1158.409989,0.09117409,0.594165184,934.082452,0.382679374,806671.8997,709.0722486,NA,NA,-0.276229287,4.2,89,"FINANCIAL","#Calc",2.08509234842,51,0.847694817,"EUR",-2.36132163542,-0.292144748405314,0.00087900948187696,NA,13.6006722966751,0,0,-0.000839042464967511,1,1,0,3,2,0,21,12,1,3,1,0,21,0,33,6,20,12,0,71,0,"report",210,13,"SDG","no GC-member","GRI","no report<IR>"
"12","CH0012138530","CH",2020,0.21148581,3693.744708,0,853.3860719,806.508435,0.351668525,25.33384344,0.140119237,0.297369127,72.21148035,0.08581984,926483.3666,676.9548,NA,NA,0.431686028,4.5,93,"FINANCIAL","#Calc",2.56631717723529,51,0.887665161,"EUR",-2.13463114923529,0.218344389977262,0.000730671293629677,NA,13.7391513716052,0,0,-0.000862073425037304,0,1,0,6,4,0,31,11,2,2,1,1,53,1,37,15,22,33,0,11,0,"report",253,14,"SDG","no GC-member","GRI","no report<IR>"
"13","CH0012214059","CH",2016,0.21148581,2715.276751,0,847.572369,872.9487872,0.489891422,298.7062842,0.278405612,0.44115218,273.3298659,0.22966637,68497.07163,63.62663033,0,NA,3.743483889,3.2,85,"CONSTRUCTION","#Calc",10.0916379183846,13,8.934931966,"EUR",-6.34815402938461,0.321495327089036,0.000928895627446548,0,11.1345462734095,0,0,-0.0126604881279274,1,0,4,2,1,13,7,3,3,2,0,1,12,0,48,4,30,5,6,210,0,"report",465,14,"SDG","GC-member","GRI","no report<IR>"
"14","CH0012214059","CH",2020,0.21148581,2403.544292,0,763.8924015,761.7615998,0.297577539,253.4460882,0.086077647,0.294143434,255.5768899,0.082643542,60211.54836,52.75977139,0,NA,4.045403195,4.2,100,"CONSTRUCTION","#Calc",10.0895793633077,13,10.53648516,"EUR",-6.04417616830769,0.316932624181489,0.000876240070668065,0,11.0056194461219,0,0,-0.0125669986123133,0,0,0,1,1,0,9,1,3,1,0,0,9,0,16,1,3,0,0,66,0,"report",6,10,"noSDG","no GC-member","GRI","no report<IR>"
