"","ISIN","Country","year","str"
"1","BE0974293251","BE",2020,0.25
"2","BE0974293251","BE",2019,0.2958
"3","BE0974293251","BE",2018,0.2958
"4","BE0974293251","BE",2017,0.3399
"5","BE0974293251","BE",2016,0.3399
"6","BE0974293251","BE",2015,0.3399
"7","BE0974293251","BE",2014,0.3399
"8","BE0974293251","BE",2013,0.3399
"9","BE0974293251","BE",2012,0.3399
"10","NL0010832176","BE",2020,0.25
"11","NL0010832176","BE",2019,0.2958
"12","NL0010832176","BE",2018,0.2958
"13","NL0010832176","BE",2017,0.3399
"14","NL0010832176","BE",2016,0.3399
"15","NL0010832176","BE",2015,0.3399
"16","NL0010832176","BE",2014,0.3399
"17","NL0010832176","BE",2013,0.3399
"18","NL0010832176","BE",2012,0.3399
"19","BE0003565737","BE",2020,0.25
"20","BE0003565737","BE",2019,0.2958
"21","BE0003565737","BE",2018,0.2958
"22","BE0003565737","BE",2017,0.3399
"23","BE0003565737","BE",2016,0.3399
"24","BE0003565737","BE",2015,0.3399
"25","BE0003565737","BE",2014,0.3399
"26","BE0003565737","BE",2013,0.3399
"27","BE0003565737","BE",2012,0.3399
"28","BE0003739530","BE",2020,0.25
"29","BE0003739530","BE",2019,0.2958
"30","BE0003739530","BE",2018,0.2958
"31","BE0003739530","BE",2017,0.3399
"32","BE0003739530","BE",2016,0.3399
"33","BE0003739530","BE",2015,0.3399
"34","BE0003739530","BE",2014,0.3399
"35","BE0003739530","BE",2013,0.3399
"36","BE0003739530","BE",2012,0.3399
"37","CH0432492467","CH",2020,0.21148581
"38","CH0432492467","CH",2019,0.21148581
"39","CH0432492467","CH",2018,0.21148581
"40","CH0432492467","CH",2017,0.21148581
"41","CH0432492467","CH",2016,0.21148581
"42","CH0432492467","CH",2015,0.21148581
"43","CH0432492467","CH",2014,0.21148581
"44","CH0432492467","CH",2013,0.21148581
"45","CH0432492467","CH",2012,0.21174438
"46","CH0210483332","CH",2020,0.21148581
"47","CH0210483332","CH",2019,0.21148581
"48","CH0210483332","CH",2018,0.21148581
"49","CH0210483332","CH",2017,0.21148581
"50","CH0210483332","CH",2016,0.21148581
"51","CH0210483332","CH",2015,0.21148581
"52","CH0210483332","CH",2014,0.21148581
"53","CH0210483332","CH",2013,0.21148581
"54","CH0210483332","CH",2012,0.21174438
"55","CH0012138530","CH",2020,0.21148581
"56","CH0012138530","CH",2019,0.21148581
"57","CH0012138530","CH",2018,0.21148581
"58","CH0012138530","CH",2017,0.21148581
"59","CH0012138530","CH",2016,0.21148581
"60","CH0012138530","CH",2015,0.21148581
"61","CH0012138530","CH",2014,0.21148581
"62","CH0012138530","CH",2013,0.21148581
"63","CH0012138530","CH",2012,0.21174438
"64","CH0030170408","CH",2020,0.21148581
"65","CH0030170408","CH",2019,0.21148581
"66","CH0030170408","CH",2018,0.21148581
"67","CH0030170408","CH",2017,0.21148581
"68","CH0030170408","CH",2016,0.21148581
"69","CH0030170408","CH",2015,0.21148581
"70","CH0030170408","CH",2014,0.21148581
"71","CH0030170408","CH",2013,0.21148581
"72","CH0030170408","CH",2012,0.21174438
"73","CH0102484968","CH",2020,0.21148581
"74","CH0102484968","CH",2019,0.21148581
"75","CH0102484968","CH",2018,0.21148581
"76","CH0102484968","CH",2017,0.21148581
"77","CH0102484968","CH",2016,0.21148581
"78","CH0102484968","CH",2015,0.21148581
"79","CH0102484968","CH",2014,0.21148581
"80","CH0102484968","CH",2013,0.21148581
"81","CH0102484968","CH",2012,0.21174438
"82","CH0012214059","CH",2020,0.21148581
"83","CH0012214059","CH",2019,0.21148581
"84","CH0012214059","CH",2018,0.21148581
"85","CH0012214059","CH",2017,0.21148581
"86","CH0012214059","CH",2016,0.21148581
"87","CH0012214059","CH",2015,0.21148581
"88","CH0012214059","CH",2014,0.21148581
"89","CH0012214059","CH",2013,0.21148581
"90","CH0012214059","CH",2012,0.21174438
"91","CH0025751329","CH",2020,0.21148581
"92","CH0025751329","CH",2019,0.21148581
"93","CH0025751329","CH",2018,0.21148581
"94","CH0025751329","CH",2017,0.21148581
"95","CH0025751329","CH",2016,0.21148581
"96","CH0025751329","CH",2015,0.21148581
"97","CH0025751329","CH",2014,0.21148581
"98","CH0025751329","CH",2013,0.21148581
"99","CH0025751329","CH",2012,0.21174438
"100","CH0012032048","CH",2020,0.21148581
"101","CH0012032048","CH",2019,0.21148581
"102","CH0012032048","CH",2018,0.21148581
"103","CH0012032048","CH",2017,0.21148581
"104","CH0012032048","CH",2016,0.21148581
"105","CH0012032048","CH",2015,0.21148581
"106","CH0012032048","CH",2014,0.21148581
"107","CH0012032048","CH",2013,0.21148581
"108","CH0012032048","CH",2012,0.21174438
"109","CH0012549785","CH",2020,0.21148581
"110","CH0012549785","CH",2019,0.21148581
"111","CH0012549785","CH",2018,0.21148581
"112","CH0012549785","CH",2017,0.21148581
"113","CH0012549785","CH",2016,0.21148581
"114","CH0012549785","CH",2015,0.21148581
"115","CH0012549785","CH",2014,0.21148581
