Column1;ISIN;Country;year;str;PTI;TXT;CTP;cetr_5;diff_c;cetr_5_s;etr_5;diff_e;etr_5_s;ASSETS;LTD;RD;PTI_FOREIGN;ROA;FTSE_ESG_a;FTSE_ESG_sr;Sector
27;BE0003565737;BE;2011;0.3399;1107.017967;445.0323486;456.1581573;0.230771327;79.88275029;-0.109128673;0.244012122;68.75694157;-0.095887878;370468.6271;316.0187008;#N/B;#N/B;0.262617431;#N/B;#N/B;FINANCIAL
27;BE0003565737;BE;2012;0.3399;1231.806122;464.9779105;432.8661764;0.194649087;14.17527548;-0.145250913;0.222981412;46.28700963;-0.116918588;338733.8817;306.3349874;#N/B;#N/B;0.353672254;#N/B;#N/B;FINANCIAL
26;BE0003565737;BE;2013;0.3399;2227.743209;901.4527049;493.8739414;0.168799512;-263.3359753;-0.171100488;0.230744035;144.2427882;-0.109155965;328897.3625;283.2838983;#N/B;#N/B;0.677139871;#N/B;#N/B;FINANCIAL
25;BE0003565737;BE;2014;0.3399;3176.835735;872.8007991;539.8631083;0.161874079;-539.9433582;-0.168153668;0.207062812;-207.0056673;-0.122964935;296672.7955;268.3672234;#N/B;#N/B;0.989955772;3.7;84;FINANCIAL
24;BE0003565737;BE;2015;0.3399;2784.50016;-115.3277645;506.7768114;0.160090042;-439.6747932;-0.161418662;0.19382828;-1061.779369;-0.127680424;274134.3267;288.0146733;#N/B;#N/B;1.009386369;3.6;79;FINANCIAL
23;BE0003565737;BE;2016;0.3399;3388.28214;732.3025715;519.9127018;0.174110893;-631.7643975;-0.135473116;0.235512976;-419.3745278;-0.074071033;290267.1906;286.7488621;#N/B;#N/B;1.16120374;3.6;62;FINANCIAL
22;BE0003565737;BE;2017;0.3399;4123.728806;1231.704556;589.9097828;0.191458726;-811.7456386;-0.111457346;0.235648131;-169.9508653;-0.067267941;351044.2566;268.6273467;#N/B;#N/B;1.2883628;3.6;56;FINANCIAL
21;BE0003565737;BE;2018;0.2958;3886.095602;873.0147982;653.5813489;0.227546768;-495.92573;-0.061568678;0.206610925;-276.4922808;-0.08250452;324435.1072;256.9140602;#N/B;1589.122883;1.143452226;4.4;85;FINANCIAL
20;BE0003565737;BE;2019;0.2958;3479.743986;701.7688901;557.3858171;0.278255794;-471.9224541;-0.008084289;0.20168843;-327.539381;-0.084651653;326188.3809;220.2008332;#N/B;1465.096455;1.082522776;4.6;90;FINANCIAL
19;BE0003565737;BE;2020;0.25;2118.072574;463.9696113;638.3857059;0.486543493;108.8675624;0.208310199;0.194666678;-65.54853231;-0.083566616;392445.0855;292.5411882;#N/B;583.6669312;0.607851027;4.7;97;FINANCIAL
36;BE0003739530;BE;2011;0.3399;324.0391788;12.51653481;228.0790787;0.853609899;117.9381618;0.513709899;0.18043647;-97.62438209;-0.15946353;11911.82388;47.95640327;1081.984898;#N/B;2.568200606;#N/B;#N/B;DRUGS, COSMETICS & HEALTH CARE
