"","ISIN","Sedol","RIC","Int.Key","Company_Name","Country","Currency","Component","mcap","Rank (FINAL)","Rank (PREVIOUS","ctrygrp","treat","distance","weights","subclass"
"1","JP3198900007","6648891","4661.T","664889","Oriental Land Co. Ltd.","JP","JPY","Large",289,387,325,"JKT",1,0.170841946706266,1,"1"
"2","JP3942400007","6985383","4503.T","698538","Astellas Pharma Inc.","JP","JPY","Large",244,476,447,"JKT",1,0.177327368421671,1,"13"
"3","JP3951600000","6911485","8113.T","691148","Uni-Charm Corp.","JP","JPY","Large",167,663,688,"JKT",1,0.188869820207787,1,"24"
"4","JP3173400007","6136749","4684.T","613674","Obic Co. Ltd.","JP","JPY","Large",112,935,972,"JKT",1,0.197461739139076,1,"35"
"5","JP3802400006","6356934","6954.T","635693","Fanuc Ltd.","JP","JPY","Large",387,272,251,"JKT",1,0.157371880606152,1,"46"
"6","TW0001326007","6348715","1326.TW","TW00E3","Formosa Chemicals & Fibre Corp","TW","TWD","Large",115,921,895,"JKT",1,0.196985586470791,1,"57"
"7","JP3197600004","6660107","4528.T","666010","Ono Pharmaceutical Co. Ltd.","JP","JPY","Large",111,939,899,"JKT",1,0.197620649406965,1,"68"
"8","JP3634600005","6900546","6201.T","690054","Toyota Industries Corp.","JP","JPY","Large",154,713,732,"JKT",1,0.190874413956171,1,"79"
"9","JP3476480003","B601QS4","8750.T","PJ059","Dai-ichi Life Holdings","JP","JPY","Large",163,679,651,"JKT",1,0.189484892629471,1,"90"
"10","JP3371200001","6804585","4063.T","680458","Shin-Etsu Chemical Co. Ltd.","JP","JPY","Large",597,164,165,"JKT",1,0.131423260016399,1,"2"
"11","JP3143600009","6467803","8001.T","646780","Itochu Corp.","JP","JPY","Large",41,261,270,"JKT",1,0.208984199699869,1,"4"
"12","JP3496400007","6248990","9433.T","624899","KDDI Corp.","JP","JPY","Large",437,239,229,"JKT",1,0.15083876817951,1,"5"
"13","JP3814800003","6356406","7270.T","635640","SUBARU CORPORATION","JP","JPY","Large",104,998,1028,"JKT",1,0.198735720039865,1,"6"
"14","KR7005380001","6451055","005380.KS","KR004F","Hyundai Motor Co","KR","KRW","Large",256,445,389,"JKT",1,0.175579261895597,1,"7"
"15","JP3381000003","6642569","5401.T","664256","NIPPON STEEL","JP","JPY","Large",138,795,873,"JKT",1,0.193363870334152,1,"8"
"16","JP3830800003","6132101","5108.T","613210","Bridgestone Corp.","JP","JPY","Large",219,520,529,"JKT",1,0.181013049677124,1,"9"
"17","TW0002886009","6444066","2886.TW","TW00H6","Mega Financial Holding Co Ltd","TW","TWD","Large",111,942,969,"JKT",1,0.197620649406965,1,"10"
"18","JP3933800009","6084848","4689.T","580894","Z HOLDINGS","JP","JPY","Large",114,924,760,"JKT",1,0.197144207678927,1,"11"
"19","KR7068270008","B0C5YV1","068270.KS","KR063K","Celltrion","KR","KRW","Large",268,420,450,"JKT",1,0.173844746715754,1,"12"
"20","KR7012330007","6449544","012330.KS","KR007I","Hyundai Mobis","KR","KRW","Large",146,753,711,"JKT",1,0.192116068733291,1,"14"
"21","TW0001216000","6700393","1216.TW","TW00NC","Uni-President Enterprises Corp","TW","TWD","Large",124,866,887,"JKT",1,0.195562329776013,1,"15"
"22","JP3890350006","6563024","8316.T","656302","Sumitomo Mitsui Financial Grou","JP","JPY","Large",424,249,248,"JKT",1,0.152515611765088,1,"16"
"23","JP3358000002","6804820","7309.T","680482","Shimano Inc.","JP","JPY","Large",173,642,663,"JKT",1,0.187950085339149,1,"17"
"24","JP3802300008","6332439","9983.T","633243","Fast Retailing Co. Ltd.","JP","JPY","Large",534,186,132,"JKT",1,0.138801855028364,1,"18"
"25","JP3898400001","6596785","8058.T","659678","Mitsubishi Corp.","JP","JPY","Large",358,295,283,"JKT",1,0.16126546270319,1,"19"
"26","JP3205800000","6483809","4452.T","648380","Kao Corp.","JP","JPY","Large",271,411,401,"JKT",1,0.173413237633039,1,"20"
"27","KR7005930003","6771720","005930.KS","KR002D","Samsung Electronics Co Ltd","KR","KRW","Large",3148,10,10,"JKT",1,0.0115925218692352,1,"21"
"28","KR7006400006","6771645","006400.KS","KR00OZ","Samsung SDI Co Ltd","KR","KRW","Large",274,405,388,"JKT",1,0.172982575357739,1,"22"
"29","JP3240400006","6490809","2801.T","649080","Kikkoman Corp.","JP","JPY","Large",98,1053,929,"JKT",1,0.19969525518903,1,"23"
"30","JP3119600009","6010906","2802.T","601090","Ajinomoto Co. Inc.","JP","JPY","Large",96,1078,1074,"JKT",1,0.200015871866385,1,"25"
"31","TW0002002003","6190950","2002.TW","TW008X","China Steel Corp","TW","TWD","Large",97,1060,1049,"JKT",1,0.199855515293183,1,"26"
"32","JP3249600002","6499260","6971.T","649926","Kyocera Corp.","JP","JPY","Large",204,552,533,"JKT",1,0.183252954784109,1,"27"
"33","TW0002882008","6425663","2882.TW","TW004T","Cathay Financial Holding Co Lt","TW","TWD","Large",126,853,902,"JKT",1,0.195247109601306,1,"28"
"34","TW0002454006","6372480","2454.TW","TW006V","MediaTek Inc","TW","TWD","Large",457,229,233,"JKT",1,0.148288648484651,1,"29"
"35","JP3421800008","6791591","9735.T","679159","Secom Co. Ltd.","JP","JPY","Large",157,701,665,"JKT",1,0.190410376995504,1,"30"
"36","JP3893200000","6597603","8801.T","659760","Mitsui Fudosan Co. Ltd.","JP","JPY","Large",187,601,580,"JKT",1,0.185817433747566,1,"31"
"37","JP3200450009","6661144","8591.T","666114","Orix Corp.","JP","JPY","Large",166,667,603,"JKT",1,0.189023444581291,1,"32"
"38","JP3571400005","6895675","8035.T","689567","Tokyo Electron Ltd.","JP","JPY","Large",566,174,180,"JKT",1,0.135011500070915,1,"33"
"39","JP3726800000","6474535","2914.T","647453","Japan Tobacco Inc.","JP","JPY","Large",181,619,631,"JKT",1,0.186729132241591,1,"34"
"40","JP3422950000","B0FS5D6","3382.T","679717","Seven & I Holdings Co. Ltd.","JP","JPY","Large",281,400,422,"JKT",1,0.171980986764405,1,"36"
"41","JP3505000004","6251363","1925.T","625136","Daiwa House Industry Co. Ltd.","JP","JPY","Large",166,665,669,"JKT",1,0.189023444581291,1,"37"
"42","KR7005490008","6693233","005490.KS","KR003E","POSCO","KR","KRW","Large",21,540,578,"JKT",1,0.212317902862972,1,"38"
"43","TW0002303005","6916628","2303.TW","TW00K9","United Microelectronics Corp","TW","TWD","Large",175,634,568,"JKT",1,0.187644272981092,1,"39"
"44","JP3758190007","B63QM77","3659.T","JP203D","NEXON","JP","JPY","Large",129,844,836,"JKT",1,0.194775001136971,1,"40"
"45","JP3304200003","6496584","6301.T","649658","Komatsu Ltd.","JP","JPY","Large",256,446,451,"JKT",1,0.175579261895597,1,"41"
"46","JP3188220002","B5LTM93","4578.T","JP10FO","OTSUKA HOLDINGS","JP","JPY","Large",18,621,637,"JKT",1,0.212821294480249,1,"42"
"47","JP3633400001","6900643","7203.T","690064","Toyota Motor Corp.","JP","JPY","Large",1697,37,39,"JKT",1,0.0478272794801943,1,"43"
"48","TW0002881000","6411673","2881.TW","TW00AZ","Fubon Financial Holding Co Ltd","TW","TWD","Large",123,875,918,"JKT",1,0.195720084249967,1,"44"
"49","JP3814000000","6356525","4901.T","635652","FUJIFILM Holdings Corp.","JP","JPY","Large",202,559,560,"JKT",1,0.183553227488195,1,"45"
"50","JP3752900005","BYT8143","6178.T","JP609N","JAPAN POST HOLDINGS","JP","JPY","Large",113,932,938,"JKT",1,0.197302925232361,1,"47"
"51","JP3902400005","6597045","6503.T","659704","Mitsubishi Electric Corp.","JP","JPY","Large",279,402,407,"JKT",1,0.172266685201134,1,"48"
"52","KR7105560007","B3DF0Y6","105560.KS","KR008J","KB Financial Group Inc","KR","KRW","Large",177,631,768,"JKT",1,0.187338843416059,1,"49"
"53","JP3890310000","B2Q4CS1","8725.T","687012","MS&AD Insurance Group Holdings","JP","JPY","Large",126,855,859,"JKT",1,0.195247109601306,1,"50"
"54","JP3475350009","B0J7D91","4568.T","677528","Daiichi Sankyo Co. Ltd.","JP","JPY","Large",452,231,231,"JKT",1,0.148922820810913,1,"51"
"55","JP3236200006","6490995","6861.T","649099","Keyence Corp.","JP","JPY","Large",741,120,108,"JKT",1,0.115803086629532,1,"52"
"56","JP3497400006","6250025","6383.T","625002","DAIFUKU","JP","JPY","Large",106,985,978,"JKT",1,0.198416646434227,1,"53"
"57","KR7035420009","6560393","035420.KS","KR00NY","NAVER CORP","KR","KRW","Large",42,256,239,"JKT",1,0.208818529860588,1,"54"
"58","JP3756100008","6644800","9843.T","664480","Nitori Co. Ltd.","JP","JPY","Large",154,712,728,"JKT",1,0.190874413956171,1,"55"
"59","JP3409000001","6858902","8830.T","685890","Sumitomo Realty & Development","JP","JPY","Large",143,767,763,"JKT",1,0.192583273708795,1,"56"
"60","JP3732000009","BF5M0K5","9434.T","JP903K","SOFTBANK","JP","JPY","Large",318,342,314,"JKT",1,0.166763122239037,1,"58"
"61","JP3116000005","6054409","2502.T","605440","ASAHI GROUP HDGS","JP","JPY","Large",182,615,576,"JKT",1,0.186576943527153,1,"59"
"62","KR7028260008","BSXN8K7","028260.KS","KR507N","SAMSUNG C&T CORP","KR","KRW","Large",11,951,937,"JKT",1,0.213999259270153,1,"60"
"63","JP3893600001","6597302","8031.T","659730","Mitsui & Co. Ltd.","JP","JPY","Large",304,362,348,"JKT",1,0.168722403667234,1,"61"
"64","JP3592200004","6897217","6502.T","689721","Toshiba Corp.","JP","JPY","Large",121,887,905,"JKT",1,0.196035882015314,1,"62"
"65","JP3566800003","6183552","9022.T","618355","Central Japan Railway Co.","JP","JPY","Large",263,427,382,"JKT",1,0.174565811786594,1,"63"
"66","JP3854600008","6435145","7267.T","643514","Honda Motor Co. Ltd.","JP","JPY","Large",463,224,238,"JKT",1,0.14753058762857,1,"64"
"67","JP3778630008","B0JDQD4","7832.T","B0JDQD","BANDAI NAMCO HOLDINGS INC.","JP","JPY","Large",135,812,746,"JKT",1,0.193833381761867,1,"65"
