ISIN;Country;Year;PRETAX_INCOME;MARKET_VALUE;BOOK_VALUE_EQUITY;ASSETS;CASH_TAX_PAID;INCOME_TAX;NET_INCOME;ROA;TAX_RATE;m1;m2;m3;m4;m5;m6;m7;m8
BE0974293251;BE;2020;192300;137573.44;6802400;22818099;2306.00;193200;-57019;-29;100.4680187;2019;2018;2017;2016;2015;2014;2013;2012
BE0974293251;BE;2016;431800;205078.93;7133900;26113899;3256.00;161300;107847;58;37.35525706;;;;;;;;
NL0010832176;BE;2020;-61561;14085.81;167405;227941;2.79;-715;-53374;-3238;#N/B;2019;2018;2017;2016;2015;2014;2013;2012
NL0010832176;BE;2016;-2435;338.38;6684;11156;#N/B;-71;-2137;-2817;#N/B;;;;;;;;
BE0974293251;BE;2018;758800;129066.05;6448500;23560599;3047.00;258400;325408;158;34.05376911;;;;;;;;
BE0974293251;BE;2019;1262400;159918.59;7572200;23827899;3136.00;278600;781506;374;22.06907478;;;;;;;;
BE0974293251;BE;2017;1064500;216246.66;7258500;24863499;2141.00;192000;706424;311;18.03663692;;;;;;;;
NL0010832176;BE;2018;-8022;3503.87;61547;66126;0.67;-160;-6664;-1404;#N/B;;;;;;;;
BE0003739530;BE;2018;119863;15397.29;721328;1201908;198.20;23595;79200;775;19.68503937;;;;;;;;
NL0010832176;BE;2019;-18247;6892.77;117946;160892;4.88;-7;-16297;-1620;#N/B;;;;;;;;
BE0003739530;BE;2019;107560;15008.43;790128;1243842;99.61;16341;78900;731;15.1925078;;;;;;;;
NL0010832176;BE;2017;-3210;2029.50;41419;44539;#N/B;-44;-2808;-1178;#N/B;;;;;;;;
BE0003739530;BE;2017;111440;14956.93;698025;1190833;207.54;24589;75200;747;22.06477733;;;;;;;;
BE0003565737;BE;2020;211807;29202.56;2450771;39244509;638.39;46397;139000;45;21.90527449;2019;2018;2017;2016;2015;2014;2013;2012
BE0003565737;BE;2016;338828;25960.38;1830730;29026719;519.91;73230;237500;90;21.61279791;;;;;;;;
BE0003565737;BE;2018;388610;26961.02;1969990;32443511;653.58;87301;249400;87;22.46508804;;;;;;;;
BE0003565737;BE;2019;347974;31341.14;2101544;32618838;557.39;70177;243300;85;20.16725635;;;;;;;;
BE0003565737;BE;2017;412373;35738.04;2257864;35104426;589.91;123170;252300;89;29.86870897;;;;;;;;
BE0003739530;BE;2020;100090;19538.71;889643;1629646;82.08;13566;73200;600;13.55353075;2019;2018;2017;2016;2015;2014;2013;2012
BE0003739530;BE;2016;84513;12121.54;588972;1077111;538.72;22013;54300;513;26.04712042;;;;;;;;
CH0432492467;CH;2020;-63500;32602.25;1882200;2760000;-97.00;-10400;-49840;-195;#N/B;2019;2018;2017;2016;2015;2014;2013;2012
CH0432492467;CH;2016;-11300;#N/B;2301200;2774000;#N/B;5700;-16748;-59;#N/B;;;;;;;;
CH0210483332;CH;2020;131210;30989.83;1880248;3380957;414.41;29664;102281;318;22.60795936;2019;2018;2017;2016;2015;2014;2013;2012
CH0210483332;CH;2016;227688;37467.06;1714681;2306221;492.24;40836;181243;832;17.93504605;;;;;;;;
CH0012214059;CH;2018;189136;24492.77;2731284;6055488;804.16;67030;150200;243;35.44030254;;;;;;;;
CH0030170408;CH;2018;70218;13977.43;177054;355224;104.94;9196;59720;1649;13.09662398;;;;;;;;
CH0012214059;CH;2019;277626;34032.47;2949966;6021583;715.45;81104;223100;378;29.21348315;;;;;;;;
CH0030170408;CH;2019;74745;20198.45;196107;384706;89.86;9650;64690;1790;12.91060851;;;;;;;;
CH0012214059;CH;2017;-154126;33675.47;2851411;6534531;884.93;54457;-167500;-251;#N/B;;;;;;;;
CH0030170408;CH;2017;62209;16137.94;188527;384074;131.77;8626;52740;1436;13.86575208;;;;;;;;
CH0012138530;CH;2020;369374;31031.22;4827988;92648337;806.51;85339;266900;33;23.10354774;2019;2018;2017;2016;2015;2014;2013;2012
CH0012138530;CH;2016;-230012;31134.41;4122300;80667190;671.97;44764;-271300;-33;#N/B;;;;;;;;
CH0012032048;CH;2018;1445033;210963.45;2801988;7964800;3359.69;335458;1050000;1353;23.21453825;;;;;;;;
CH0432492467;CH;2018;-30000;#N/B;2263900;2706200;#N/B;-7300;-22216;-83;#N/B;;;;;;;;
CH0012549785;CH;2018;49016;10355.93;256033;449253;48.17;7367;40014;971;15.03017385;;;;;;;;
CH0012280076;CH;2018;34374;9926.02;121822;193814;40.78;4970;27277;1495;14.45825035;;;;;;;;
CH0012032048;CH;2019;1673303;277490.08;3381732;8580678;3565.17;252168;1349700;1670;15.07005833;;;;;;;;
CH0432492467;CH;2019;-33200;27802.88;1930300;2765500;-224.00;32400;-65192;-244;#N/B;;;;;;;;
CH0012549785;CH;2019;53252;12732.02;236349;431017;65.01;7006;45410;1057;13.1563981;;;;;;;;
CH0012280076;CH;2019;37081;15571.39;140798;254201;35.00;5780;30647;1402;15.58730546;;;;;;;;
CH0012032048;CH;2017;1244587;215981.49;2713289;7868240;3971.50;347773;863300;1125;27.94285714;;;;;;;;
CH0432492467;CH;2017;-12700;#N/B;2302900;2738800;#N/B;-38300;25197;92;#N/B;;;;;;;;
CH0012549785;CH;2017;42272;9077.48;210641;393194;36.81;6192;34917;1044;14.64840756;;;;;;;;
CH0012280076;CH;2017;33815;11172.14;110538;178383;26.84;4152;27954;1947;12.2788621;;;;;;;;
CH0030170408;CH;2020;80363;22335.77;217433;424345;100.15;11932;64230;1718;14.84820363;2019;2018;2017;2016;2015;2014;2013;2012
CH0030170408;CH;2016;64030;14780.73;160889;354317;100.08;8384;54820;1532;13.0944832;;;;;;;;
CH0025751329;CH;2018;23227;6008.57;105057;174318;#N/B;2372;20241;1277;10.21376445;;;;;;;;
CH0025751329;CH;2019;27113;6500.28;117634;202412;15.31;1356;25514;1385;5.001235556;;;;;;;;
CH0025751329;CH;2017;21499;5166.88;85611;149868;11.32;911;20332;1469;4.238821521;;;;;;;;
CH0102484968;CH;2020;90122;12406.41;726919;12346512;154.80;15693;69800;66;17.41340584;2019;2018;2017;2016;2015;2014;2013;2012
CH0102484968;CH;2016;72292;9677.60;524445;9465952;79.48;13246;61940;69;18.32350463;;;;;;;;
CH0012214059;CH;2020;240354;33646.07;2949375;6021155;761.76;76389;167900;301;31.78191489;2019;2018;2017;2016;2015;2014;2013;2012
CH0012214059;CH;2016;271528;31976.04;3032617;6849707;872.95;84757;174800;245;31.21495327;;;;;;;;
CH0025751329;CH;2020;32433;7217.17;148927;236347;20.85;-12540;44375;2063;-38.66387524;2019;2018;2017;2016;2015;2014;2013;2012
CH0025751329;CH;2016;13147;2594.75;75995;132415;11.50;311;12488;941;2.365522697;;;;;;;;
CH0012138530;CH;2018;344552;27943.10;4455468;77999188;692.78;139067;202400;26;40.36180308;;;;;;;;
CH0014852781;CH;2018;142746;12982.63;1473118;21627308;225.82;32391;107600;50;22.69148175;;;;;;;;
CH0102484968;CH;2018;91145;7741.06;612690;10438050;145.61;16206;73540;73;17.78026906;;;;;;;;
CH0012138530;CH;2019;474953;32970.57;4507048;81302730;733.56;130310;341900;44;27.43644068;;;;;;;;
CH0014852781;CH;2019;153152;15990.11;1644034;23577219;212.32;32502;119900;54;21.22207622;;;;;;;;
CH0102484968;CH;2019;56904;11185.27;638220;10537016;122.06;10183;46480;45;17.89566755;;;;;;;;
CH0012138530;CH;2017;182167;45535.58;4299846;81712571;548.63;278483;-98300;-12;152.8722811;;;;;;;;
CH0014852781;CH;2017;133806;12069.48;1590046;21856132;199.13;31191;100700;49;23.31055429;;;;;;;;
CH0102484968;CH;2017;89885;13328.76;597691;10047984;100.28;17333;70480;73;19.28337289;;;;;;;;
CH0012032048;CH;2020;1914099;298224.91;4111205;9744668;3447.64;308647;1429500;1689;16.12490259;2019;2018;2017;2016;2015;2014;2013;2012
CH0012032048;CH;2016;1320284;194970.59;2352634;7558321;3794.28;332330;957600;1255;25.17106174;;;;;;;;
CH0210483332;CH;2018;197963;50564.81;1799422;3167283;404.34;50484;138491;534;25.50177096;;;;;;;;
CH0210483332;CH;2019;203702;41139.26;1903343;3179462;354.16;44097;319181;1030;21.64772727;;;;;;;;
CH0210483332;CH;2017;175930;44689.71;1660904;2156213;315.88;39486;131066;600;22.44389027;;;;;;;;
CH0012549785;CH;2020;50673;11252.52;207865;463697;60.91;1307;48320;1101;2.58;2019;2018;2017;2016;2015;2014;2013;2012
CH0012549785;CH;2016;40652;8388.38;196557;287330;41.68;5264;33703;1238;12.9493838;;;;;;;;
CH0012280076;CH;2020;12305;18544.77;136290;296259;61.22;2305;9128;359;18.73587601;2019;2018;2017;2016;2015;2014;2013;2012
CH0012280076;CH;2016;22720;5994.40;62349;111480;29.62;-749;22960;2071;-3.294940758;;;;;;;;
CH0014852781;CH;2020;142977;14833.83;1894338;26899937;314.29;31962;104600;45;22.35469449;2019;2018;2017;2016;2015;2014;2013;2012
CH0014852781;CH;2016;122416;9043.22;1343730;19696069;216.21;29335;92200;47;23.96351575;;;;;;;;
CH0008742519;CH;2020;191239;27958.62;1073590;2744725;329.21;28872;153000;631;15.09749304;2019;2018;2017;2016;2015;2014;2013;2012
CH0008742519;CH;2016;202301;23246.10;640921;2110887;332.94;39181;160400;753;19.36778726;;;;;;;;
CH0008742519;CH;2018;195267;24681.69;834145;2291134;300.41;40361;152700;684;20.66980638;;;;;;;;
CH0008742519;CH;2019;176296;27421.57;916198;2503950;373.32;5534;167200;714;3.139269406;;;;;;;;
CH0008742519;CH;2017;200252;27561.81;785634;2263520;293.62;39827;157000;722;19.88838153;;;;;;;;
DE000A1EWWW0;DE;2020;65891;71100.71;789679;2575940;459.41;13338;45100;216;20.24221453;2019;2018;2017;2016;2015;2014;2013;2012
DE000A1EWWW0;DE;2016;169912;31910.00;682634;1600689;472.35;50221;107900;757;29.55729167;;;;;;;;
DE000A1EWWW0;DE;2018;280544;41529.33;728987;1784686;961.50;78925;170700;1152;28.13288478;;;;;;;;
DE000A1EWWW0;DE;2019;286304;63748.94;762851;2321330;774.52;71632;191700;1056;25.01954652;;;;;;;;
DE000A1EWWW0;DE;2017;228181;40917.74;724323;1683401;627.13;75459;135100;926;33.06969847;;;;;;;;
DE0008404005;DE;2020;1094831;101184.60;9612453;135753725;3067.67;281688;680700;63;25.72886297;2019;2018;2017;2016;2015;2014;2013;2012
DE0008404005;DE;2016;1151883;75357.28;7075579;96789447;3244.48;341151;696200;79;29.61682512;;;;;;;;
DE0007100000;DE;2018;1172553;56147.23;7392408;32193275;3371.72;355459;724900;270;30.31492102;;;;;;;;
DE0007664039;DE;2018;1448025;79608.89;11948318;55350636;4487.77;411733;1182700;254;28.43408832;;;;;;;;
DE0005190003;DE;2018;1061185;53189.89;6579857;23889548;2326.47;298477;700700;346;28.12673708;;;;;;;;
DE000PAH0038;DE;2018;-14983;18078.63;3819836;3864533;2.36;2831;349000;1068;#N/B;;;;;;;;
DE0005439004;DE;2018;445981;27607.90;2040568;4742312;1015.53;105186;289730;726;23.58542973;;;;;;;;
DE0007100000;DE;2019;375060;59288.06;6885864;33948664;2358.26;125468;237700;81;33.45270069;;;;;;;;
DE0007664039;DE;2019;1679656;99170.94;12248495;58111598;3261.49;484299;1334600;266;28.83321117;;;;;;;;
DE0005190003;DE;2019;781459;54092.38;6659119;27126670;3793.13;239519;487100;216;30.65024348;;;;;;;;
DE000PAH0038;DE;2019;1119;22908.54;3960517;4008335;3.36;1007;440700;1268;90;;;;;;;;
DE0005439004;DE;2019;-51967;25876.64;1728122;4936979;969.27;65185;-122500;-287;#N/B;;;;;;;;
DE0007100000;DE;2017;1406422;90950.80;7669389;30661826;4375.26;377858;1027800;412;26.86662924;;;;;;;;
DE0007664039;DE;2017;1149478;100195.46;11739140;53676838;4132.75;249274;1117900;254;21.6858012;;;;;;;;
DE0005190003;DE;2017;1120716;68565.03;6444813;23476359;2595.38;225587;858900;435;20.12882448;;;;;;;;
DE000PAH0038;DE;2017;-6542;25661.24;3757423;3791646;0.00;2369;327800;1093;#N/B;;;;;;;;
