ISIN	Country	m0	m1	m2	m3	m4	m5	m6	m7	m8
BE0974293251	BE	2020	2019	2018	2017	2016	2015	2014	2013	2012
NL0010832176	BE	2020	2019	2018	2017	2016	2015	2014	2013	2012
BE0003565737	BE	2020	2019	2018	2017	2016	2015	2014	2013	2012
BE0003739530	BE	2020	2019	2018	2017	2016	2015	2014	2013	2012
CH0432492467	CH	2020	2019	2018	2017	2016	2015	2014	2013	2012
CH0210483332	CH	2020	2019	2018	2017	2016	2015	2014	2013	2012
CH0012138530	CH	2020	2019	2018	2017	2016	2015	2014	2013	2012
CH0030170408	CH	2020	2019	2018	2017	2016	2015	2014	2013	2012
CH0102484968	CH	2020	2019	2018	2017	2016	2015	2014	2013	2012
CH0012214059	CH	2020	2019	2018	2017	2016	2015	2014	2013	2012
CH0025751329	CH	2020	2019	2018	2017	2016	2015	2014	2013	2012
CH0012032048	CH	2020	2019	2018	2017	2016	2015	2014	2013	2012
CH0012549785	CH	2020	2019	2018	2017	2016	2015	2014	2013	2012
CH0012280076	CH	2020	2019	2018	2017	2016	2015	2014	2013	2012
CH0014852781	CH	2020	2019	2018	2017	2016	2015	2014	2013	2012
CH0008742519	CH	2020	2019	2018	2017	2016	2015	2014	2013	2012
DE000A1EWWW0	DE	2020	2019	2018	2017	2016	2015	2014	2013	2012
DE0008404005	DE	2020	2019	2018	2017	2016	2015	2014	2013	2012
DE000BAY0017	DE	2020	2019	2018	2017	2016	2015	2014	2013	2012
DE0005190003	DE	2020	2019	2018	2017	2016	2015	2014	2013	2012
DE0005439004	DE	2020	2019	2018	2017	2016	2015	2014	2013	2012
DE0007100000	DE	2020	2019	2018	2017	2016	2015	2014	2013	2012
DE0005810055	DE	2020	2019	2018	2017	2016	2015	2014	2013	2012
DE0005552004	DE	2020	2019	2018	2017	2016	2015	2014	2013	2012
DE0005557508	DE	2020	2019	2018	2017	2016	2015	2014	2013	2012
DE0005785604	DE	2020	2019	2018	2017	2016	2015	2014	2013	2012
DE0006047004	DE	2020	2019	2018	2017	2016	2015	2014	2013	2012
DE0006048432	DE	2020	2019	2018	2017	2016	2015	2014	2013	2012
DE0006231004	DE	2020	2019	2018	2017	2016	2015	2014	2013	2012
DE0006599905	DE	2020	2019	2018	2017	2016	2015	2014	2013	2012
DE000A0D9PT0	DE	2020	2019	2018	2017	2016	2015	2014	2013	2012
DE000PAH0038	DE	2020	2019	2018	2017	2016	2015	2014	2013	2012
DE0007164600	DE	2020	2019	2018	2017	2016	2015	2014	2013	2012
DE0007165631	DE	2020	2019	2018	2017	2016	2015	2014	2013	2012
DE000ENER6Y0	DE	2020	2019	2018	2017	2016	2015	2014	2013	2012
DE000SYM9999	DE	2020	2019	2018	2017	2016	2015	2014	2013	2012
DE0007664039	DE	2020	2019	2018	2017	2016	2015	2014	2013	2012
DE000A1ML7J1	DE	2020	2019	2018	2017	2016	2015	2014	2013	2012
DK0010181759	DK	2020	2019	2018	2017	2016	2015	2014	2013	2012
DK0060448595	DK	2020	2019	2018	2017	2016	2015	2014	2013	2012
DK0010274414	DK	2020	2019	2018	2017	2016	2015	2014	2013	2012
DK0010272202	DK	2020	2019	2018	2017	2016	2015	2014	2013	2012
DK0060336014	DK	2020	2019	2018	2017	2016	2015	2014	2013	2012
DK0010268606	DK	2020	2019	2018	2017	2016	2015	2014	2013	2012
ES0105046009	ES	2020	2019	2018	2017	2016	2015	2014	2013	2012
ES0109067019	ES	2020	2019	2018	2017	2016	2015	2014	2013	2012
ES0105066007	ES	2020	2019	2018	2017	2016	2015	2014	2013	2012
ES0148396007	ES	2020	2019	2018	2017	2016	2015	2014	2013	2012
ES0178430E18	ES	2020	2019	2018	2017	2016	2015	2014	2013	2012
FR0000120073	FR	2020	2019	2018	2017	2016	2015	2014	2013	2012
NL0000235190	FR	2020	2019	2018	2017	2016	2015	2014	2013	2012
FR0010220475	FR	2020	2019	2018	2017	2016	2015	2014	2013	2012
FR0000120503	FR	2020	2019	2018	2017	2016	2015	2014	2013	2012
FR0000125338	FR	2020	2019	2018	2017	2016	2015	2014	2013	2012
FR0000120172	FR	2020	2019	2018	2017	2016	2015	2014	2013	2012
FR0000045072	FR	2020	2019	2018	2017	2016	2015	2014	2013	2012
FR0000120644	FR	2020	2019	2018	2017	2016	2015	2014	2013	2012
FR0000130650	FR	2020	2019	2018	2017	2016	2015	2014	2013	2012
FR0000130809	FR	2020	2019	2018	2017	2016	2015	2014	2013	2012
FR0000052292	FR	2020	2019	2018	2017	2016	2015	2014	2013	2012
FR0000121485	FR	2020	2019	2018	2017	2016	2015	2014	2013	2012
FR0010307819	FR	2020	2019	2018	2017	2016	2015	2014	2013	2012
FR0000120321	FR	2020	2019	2018	2017	2016	2015	2014	2013	2012
FR0000121261	FR	2020	2019	2018	2017	2016	2015	2014	2013	2012
FR0000133308	FR	2020	2019	2018	2017	2016	2015	2014	2013	2012
FR0000120693	FR	2020	2019	2018	2017	2016	2015	2014	2013	2012
FR0000073272	FR	2020	2019	2018	2017	2016	2015	2014	2013	2012
FR0000051807	FR	2020	2019	2018	2017	2016	2015	2014	2013	2012
FR0000125486	FR	2020	2019	2018	2017	2016	2015	2014	2013	2012
FR0000127771	FR	2020	2019	2018	2017	2016	2015	2014	2013	2012
IT0000062072	IT	2020	2019	2018	2017	2016	2015	2014	2013	2012
NL0010545661	IT	2020	2019	2018	2017	2016	2015	2014	2013	2012
NL0011585146	IT	2020	2019	2018	2017	2016	2015	2014	2013	2012
IT0000072618	IT	2020	2019	2018	2017	2016	2015	2014	2013	2012
NL00150001Q9	IT	2020	2019	2018	2017	2016	2015	2014	2013	2012
NL0000226223	IT	2020	2019	2018	2017	2016	2015	2014	2013	2012
IT0005239360	IT	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3122400009	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3119600009	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3116000005	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3942400007	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3778630008	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3830800003	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3242800005	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3566800003	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3519400000	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3497400006	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3476480003	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3475350009	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3505000004	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3551500006	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3783600004	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3160400002	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3386450005	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3802400006	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3802300008	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3814000000	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3788600009	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3854600008	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3143600009	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3752900005	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3726800000	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3205800000	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3496400007	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3236200006	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3240400006	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3258000003	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3304200003	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3249600002	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3898400001	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3902400005	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3899600005	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3893600001	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3893200000	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3890310000	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3758190007	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3734800000	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3756600007	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3381000003	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3735400008	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3756100008	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3762600009	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3762800005	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3173400007	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3201200007	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3197800000	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3197600004	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3198900007	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3200450009	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3188220002	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3866800000	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3970300004	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3421800008	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3422950000	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3358000002	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3371200001	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3351600006	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3732000009	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3814800003	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3890350006	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3409000001	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3397200001	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3463000004	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3538800008	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3546800008	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3910660004	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3571400005	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3592200004	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3634600005	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3633400001	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3951600000	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
JP3933800009	JP	2020	2019	2018	2017	2016	2015	2014	2013	2012
KR7068270008	KR	2020	2019	2018	2017	2016	2015	2014	2013	2012
KR7012330007	KR	2020	2019	2018	2017	2016	2015	2014	2013	2012
KR7005380001	KR	2020	2019	2018	2017	2016	2015	2014	2013	2012
KR7035720002	KR	2020	2019	2018	2017	2016	2015	2014	2013	2012
KR7105560007	KR	2020	2019	2018	2017	2016	2015	2014	2013	2012
KR7000270009	KR	2020	2019	2018	2017	2016	2015	2014	2013	2012
KR7035420009	KR	2020	2019	2018	2017	2016	2015	2014	2013	2012
KR7036570000	KR	2020	2019	2018	2017	2016	2015	2014	2013	2012
KR7005490008	KR	2020	2019	2018	2017	2016	2015	2014	2013	2012
KR7028260008	KR	2020	2019	2018	2017	2016	2015	2014	2013	2012
KR7005930003	KR	2020	2019	2018	2017	2016	2015	2014	2013	2012
KR7006400006	KR	2020	2019	2018	2017	2016	2015	2014	2013	2012
KR7017670001	KR	2020	2019	2018	2017	2016	2015	2014	2013	2012
NL0012969182	NL	2020	2019	2018	2017	2016	2015	2014	2013	2012
NL0013267909	NL	2020	2019	2018	2017	2016	2015	2014	2013	2012
NL0000009165	NL	2020	2019	2018	2017	2016	2015	2014	2013	2012
NL0012015705	NL	2020	2019	2018	2017	2016	2015	2014	2013	2012
NL0000009082	NL	2020	2019	2018	2017	2016	2015	2014	2013	2012
NL0010773842	NL	2020	2019	2018	2017	2016	2015	2014	2013	2012
NL0000009538	NL	2020	2019	2018	2017	2016	2015	2014	2013	2012
NL0013654783	NL	2020	2019	2018	2017	2016	2015	2014	2013	2012
NL0000395903	NL	2020	2019	2018	2017	2016	2015	2014	2013	2012
SE0011166610	SE	2020	2019	2018	2017	2016	2015	2014	2013	2012
SE0012853455	SE	2020	2019	2018	2017	2016	2015	2014	2013	2012
SE0000108656	SE	2020	2019	2018	2017	2016	2015	2014	2013	2012
SE0009922164	SE	2020	2019	2018	2017	2016	2015	2014	2013	2012
SE0012673267	SE	2020	2019	2018	2017	2016	2015	2014	2013	2012
SE0000103699	SE	2020	2019	2018	2017	2016	2015	2014	2013	2012
SE0000107419	SE	2020	2019	2018	2017	2016	2015	2014	2013	2012
FI4000297767	SE	2020	2019	2018	2017	2016	2015	2014	2013	2012
SE0000667891	SE	2020	2019	2018	2017	2016	2015	2014	2013	2012
SE0000148884	SE	2020	2019	2018	2017	2016	2015	2014	2013	2012
SE0007100599	SE	2020	2019	2018	2017	2016	2015	2014	2013	2012
SE0000242455	SE	2020	2019	2018	2017	2016	2015	2014	2013	2012
SE0000310336	SE	2020	2019	2018	2017	2016	2015	2014	2013	2012
SE0000115446	SE	2020	2019	2018	2017	2016	2015	2014	2013	2012
TW0002882008	TW	2020	2019	2018	2017	2016	2015	2014	2013	2012
TW0002002003	TW	2020	2019	2018	2017	2016	2015	2014	2013	2012
TW0002412004	TW	2020	2019	2018	2017	2016	2015	2014	2013	2012
TW0001326007	TW	2020	2019	2018	2017	2016	2015	2014	2013	2012
TW0001301000	TW	2020	2019	2018	2017	2016	2015	2014	2013	2012
TW0002881000	TW	2020	2019	2018	2017	2016	2015	2014	2013	2012
TW0002317005	TW	2020	2019	2018	2017	2016	2015	2014	2013	2012
TW0002454006	TW	2020	2019	2018	2017	2016	2015	2014	2013	2012
TW0002886009	TW	2020	2019	2018	2017	2016	2015	2014	2013	2012
TW0001303006	TW	2020	2019	2018	2017	2016	2015	2014	2013	2012
TW0001216000	TW	2020	2019	2018	2017	2016	2015	2014	2013	2012
TW0002303005	TW	2020	2019	2018	2017	2016	2015	2014	2013	2012
US88579Y1010	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US00507V1098	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US00751Y1064	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US0010551028	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US0091581068	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US0152711091	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US0311001004	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US0404131064	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US3635761097	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US0584981064	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US0605051046	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US0970231058	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US0995021062	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US1011211018	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US1156372096	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US12541W2098	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US14149Y1082	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US18915M1071	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US1941621039	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US21036P1084	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US22160K1051	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US2310211063	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US23331A1097	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US2473617023	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US24906P1093	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US2855121099	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US29355A1079	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US5184391044	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US30063P1057	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US31428X1063	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US3453708600	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US34959E1091	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US35671D8570	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US37045V1008	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
