ISIN;Company_Name;Country;Sector;Year;start_date;end_date;SR;PRETAX_INCOME;MARKET_VALUE;BOOK_VALUE_EQUITY;ASSETS;CASH_TAX_PAID;INCOME_TAX;NET_INCOME;ROA;TAX_RATE;TAX_FUND_REC;ETR_5;CETR_5;ITE_4;ITE_3;ITE_2;ITE_1;ITE_0;CTP_4;CTP_3;CTP_2;CTP_1;CTP_0;PTI_4;PTI_3;PTI_2;PTI_1;PTI_0;T_4_start;T_4_start;T_3_start;T_2_start;T_1_start;T-4;T-3;T-2;T_1;LTD;RD;PTI_FOREIGN;MCAP
BE0974293251;ANHEUSER-BUSCH INBEV;BE;BEVERAGES;2020;1/1/2020;12/31/2020;1;1923.00;137573.44;68024.00;228180.99;2306.00;1932.00;-570.19;-0.29;100.4680187;#N/B;0.289147342;0.380052542;1458.148636;1702.226403;2190.295013;2489.169901;1694.774867;2943.42;1898.16;2582.75;2801.88;2306.00;3903.46;9437.60;6431.87;11279.00;1923.00;;2016;2017;2018;2019;-4;-3;-2;-1;78033.59078;259.6549485;#N/B;43322.96439
BE0974293251;ANHEUSER-BUSCH INBEV;BE;BEVERAGES;2016;1/1/2016;12/31/2016;1;4318.00;205078.93;71339.00;261138.99;3256.00;1613.00;1078.47;0.58;37.35525706;#N/B;0.269568345;0.381177058;1458.148636;1702.226403;2190.295013;2489.169901;1694.774867;2943.42;1898.16;2582.75;2801.88;3256.00;3903.46;9437.60;6431.87;11279.00;4318.00;;2012;2013;2014;2015;-4;-3;-2;-1;108026.5466;220.5754912;#N/B;71384.32534
NL0010832176;ARGENX;BE;DRUGS, COSMETICS & HEALTH CARE;2020;1/1/2020;12/31/2020;0;-615.61;14085.81;1674.05;2279.41;2.79;-7.15;-533.74;-32.38;#N/B;#N/B;0.009726266;#N/B;-0.641;-0.386;-1.357;-0.066;-6.275579398;#N/B;#N/B;0.57;4.36;2.79;-22.02;-28.46;-68.00;-163.03;-615.61;;2016;2017;2018;2019;-4;-3;-2;-1;5.051693842;322.858121;#N/B;11062.81223
NL0010832176;ARGENX;BE;DRUGS, COSMETICS & HEALTH CARE;2016;1/1/2016;12/31/2016;0;-24.35;338.38;66.84;111.56;#N/B;-0.71;-21.37;-28.17;#N/B;#N/B;0.028528117;#N/B;-0.641;-0.386;-1.357;-0.066;-6.275579398;#N/B;#N/B;0.57;4.36;#N/B;-22.02;-28.46;-68.00;-163.03;-24.35;;2012;2013;2014;2015;-4;-3;-2;-1;0;31.222;#N/B;161.4850172
BE0974293251;ANHEUSER-BUSCH INBEV;BE;BEVERAGES;2018;1/1/2018;12/31/2018;;7588.00;129066.05;64485.00;235605.99;3047.00;2584.00;3254.08;1.58;34.05376911;#N/B;0.246755458;0.343510096;1458.148636;1702.226403;2190.295013;2489.169901;1694.774867;2943.42;1898.16;2582.75;2801.88;3047.00;3903.46;9437.60;6431.87;11279.00;7588.00;;2014;2015;2016;2017;-4;-3;-2;-1;93598.39041;233.9479194;#N/B;42830.40797
BE0974293251;ANHEUSER-BUSCH INBEV;BE;BEVERAGES;2019;1/1/2019;12/31/2019;;12624.00;159918.59;75722.00;238278.99;3136.00;2786.00;7815.06;3.74;22.06907478;#N/B;0.218303623;0.305939822;1458.148636;1702.226403;2190.295013;2489.169901;1694.774867;2943.42;1898.16;2582.75;2801.88;3136.00;3903.46;9437.60;6431.87;11279.00;12624.00;;2015;2016;2017;2018;-4;-3;-2;-1;86916.70379;259.9958511;#N/B;53715.91541
BE0974293251;ANHEUSER-BUSCH INBEV;BE;BEVERAGES;2017;1/1/2017;12/31/2017;;10645.00;216246.66;72585.00;248634.99;2141.00;1920.00;7064.24;3.11;18.03663692;#N/B;0.228664644;0.296597526;1458.148636;1702.226403;2190.295013;2489.169901;1694.774867;2943.42;1898.16;2582.75;2801.88;2141.00;3903.46;9437.60;6431.87;11279.00;10645.00;;2013;2014;2015;2016;-4;-3;-2;-1;90730.34644;244.6950454;#N/B;66115.92481
NL0010832176;ARGENX;BE;DRUGS, COSMETICS & HEALTH CARE;2018;1/1/2018;12/31/2018;;-80.22;3503.87;615.47;661.26;0.67;-1.60;-66.64;-14.04;#N/B;#N/B;0.024122027;#N/B;-0.641;-0.386;-1.357;-0.066;-6.275579398;#N/B;#N/B;0.57;4.36;0.67;-22.02;-28.46;-68.00;-163.03;-80.22;;2014;2015;2016;2017;-4;-3;-2;-1;0;83.116;#N/B;2684.230746
BE0003739530;UCB;BE;DRUGS, COSMETICS & HEALTH CARE;2018;1/1/2018;12/31/2018;;1198.63;15397.29;7213.28;12019.08;198.20;235.95;792.00;7.75;19.68503937;#N/B;0.178990867;0.228547787;199;218;200;146;119;487.00;184.00;168.00;89.00;198.20;764.00;988.00;1016.00;961.00;1198.63;;2014;2015;2016;2017;-4;-3;-2;-1;1350;1161;#N/B;8367.374271
NL0010832176;ARGENX;BE;DRUGS, COSMETICS & HEALTH CARE;2019;1/1/2019;12/31/2019;;-182.47;6892.77;1179.46;1608.92;4.88;-0.07;-162.97;-16.20;#N/B;#N/B;0.018806011;#N/B;-0.641;-0.386;-1.357;-0.066;-6.275579398;#N/B;#N/B;0.57;4.36;4.88;-22.02;-28.46;-68.00;-163.03;-182.47;;2015;2016;2017;2018;-4;-3;-2;-1;4.54;196.024;#N/B;5781.818033
BE0003739530;UCB;BE;DRUGS, COSMETICS & HEALTH CARE;2019;1/1/2019;12/31/2019;;1075.60;15008.43;7901.28;12438.42;99.61;163.41;789.00;7.31;15.1925078;#N/B;0.183574154;0.213881191;199;218;200;146;119;487.00;184.00;168.00;89.00;99.61;764.00;988.00;1016.00;961.00;1075.60;;2015;2016;2017;2018;-4;-3;-2;-1;975;1272;#N/B;8283.715652
NL0010832176;ARGENX;BE;DRUGS, COSMETICS & HEALTH CARE;2017;1/1/2017;12/31/2017;;-32.10;2029.50;414.19;445.39;#N/B;-0.44;-28.08;-11.78;#N/B;#N/B;0.027823091;#N/B;-0.641;-0.386;-1.357;-0.066;-6.275579398;#N/B;#N/B;0.57;4.36;#N/B;-22.02;-28.46;-68.00;-163.03;-32.10;;2013;2014;2015;2016;-4;-3;-2;-1;0;51.294;#N/B;1428.536128
BE0003739530;UCB;BE;DRUGS, COSMETICS & HEALTH CARE;2017;1/1/2017;12/31/2017;;1114.40;14956.93;6980.25;11908.33;207.54;245.89;752.00;7.47;22.06477733;#N/B;0.182103505;0.234451029;199;218;200;146;119;487.00;184.00;168.00;89.00;207.54;764.00;988.00;1016.00;961.00;1114.40;;2013;2014;2015;2016;-4;-3;-2;-1;1534;1057;#N/B;7665.313451
BE0003565737;KBC GRP;BE;FINANCIAL;2020;1/1/2020;12/31/2020;1;2118.07;29202.56;24507.71;392445.09;638.39;463.97;1390.00;0.45;21.90527449;#N/B;0.231494961;0.176074339;662;1092;740;627;407;470.00;523.00;554.00;498.00;638.39;3063.00;3656.00;3294.00;3109.00;2118.07;;2016;2017;2018;2019;-4;-3;-2;-1;55026;#N/B;512;14615.28864
BE0003565737;KBC GRP;BE;FINANCIAL;2016;1/1/2016;12/31/2016;1;3388.28;25960.38;18307.30;290267.19;519.91;732.30;2375.00;0.90;21.61279791;#N/B;0.213685022;0.155352445;662;1092;740;627;407;470.00;523.00;554.00;498.00;519.91;3063.00;3656.00;3294.00;3109.00;3388.28;;2012;2013;2014;2015;-4;-3;-2;-1;17018;#N/B;#N/B;16575.09159
