"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"Sustainability report incl. integrated dummy (REP)","600","","","","","",""
"... no report","148","24.7%","","","","",""
"... report","452","75.3%","","","","",""
"SDG  1 No Poverty (sdg01)","600","0.888","2.432","0","0","1","38"
"SDG  2 Zero Hunger (sdg02)","600","1.208","3.825","0","0","1","37"
"SDG  3 Good Health & Wellbeing (sdg03)","600","4.085","10.202","0","0","4","109"
"SDG  4 Quality Education (sdg04)","600","0.628","1.457","0","0","1","12"
"SDG  5 Gender Equality (sdg05)","600","1.432","4.01","0","0","1","36"
"SDG  6 Clean Water & Sanitation (sdg06)","600","1.802","4.345","0","0","2","44"
"SDG  7 Affordable & Clean Energy (sdg07)","600","11.81","18.559","0","0","16","186"
"SDG  8 Decent Work & Econ. Growth (sdg08)","600","1.987","3.408","0","0","3","25"
"SDG  9 Industry, Innovation & Infrastructure (sdg09)","600","0.37","1.373","0","0","0","14"
"SDG 10 Reduced Inequalities (sdg10)","600","2.487","5.091","0","0","3","45"
"SDG 11 Sustainable Cities & Communities (sdg11)","600","0.792","6.569","0","0","0","113"
"SDG 12 Responsible Consumption & Production (sdg12)","600","0.738","2.494","0","0","0.25","37"
"SDG 13 Climate Action (sdg13)","600","15.478","24.847","0","0","20","168"
"SDG 14 Life Below Water (sdg14)","600","0.015","0.147","0","0","0","2"
"SDG 15 Life on Land (sdg15)","600","8.913","18.791","0","0","8.25","130"
"SDG 16 Peace, Justice & Strong Institutions (sdg16)","600","5.177","9.297","0","0","6.25","126"
"SDG 17 Partnership for the Goals (sdg17)","600","8.092","15.656","0","0","10","153"
"SDG & 2030 Agenda mentioning (sdg)","600","10.28","24.376","0","0","11","328"
"Total SDG1 - SDG 17 mentioning (sdg_total)","600","156.382","830.54","0","0","55","11771"
"SDG Themes (number) (sdg_themes)","600","6.938","5.04","0","0","11","16"
"SDG mentioning dummy (SDG)","600","","","","","",""
"... noSDG","300","50%","","","","",""
"... SDG","300","50%","","","","",""
"Global Compact  dummy (GC)","600","","","","","",""
"... no GC-member","443","73.8%","","","","",""
"... GC-member","157","26.2%","","","","",""
"Global Reporting Initiative GRI dummy (GRI)","600","","","","","",""
"... no GRI","251","41.8%","","","","",""
"... GRI","349","58.2%","","","","",""
"Integrated Reporting IIRC dummy (INT)","600","","","","","",""
"... no <IR>","522","87%","","","","",""
"... <IR>","78","13%","","","","",""
