"","ans_id","V000","V001","V002_1","V002_2","V002_3","V002_4","V002_o","V002_o1","V003_1","V004_1","V006_1","V006_2","V006_3","V006_4","V006_5","V006_o","V006_o1","V007","V008","V009","V010","V010_o","V011_1","V012_1","V013_1","V015","Leeftijd","Leeftijd_cat","Geslacht","Postcode"
"1",2525,1,4,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",2,3,3,1,"",NA,NA,NA,"geen",33,1,1,3438
"2",5076,1,2,0,0,0,1,0,"",2,2,1,1,0,0,1,0,"",2,4,2,1,"",NA,NA,NA,"Waar ze vandaag komen en of er een eerlijke prijs voor wordt betaald aan de boeren",33,1,2,5146
"3",3322,1,2,1,1,0,1,0,"",2,2,1,1,1,1,0,0,"",1,1,2,1,"",NA,NA,NA,"Of ze duurzaam geproduceerd zijn",30,1,2,7521
"4",2677,1,3,1,0,0,1,0,"",1,2,1,1,0,0,0,0,"",2,3,3,1,"",NA,NA,NA,"Ik zou niet snel info over de bananen opzoeken.",30,1,1,3708
"5",2102,1,1,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",2,1,4,1,"",NA,NA,NA,"waar ze vandaan komen, hoe ze gegroeid zijn",21,1,2,6512
"6",4434,1,3,0,0,0,1,0,"",2,2,1,1,0,0,0,0,"",1,4,3,1,"",NA,NA,NA,"Geen idee, keertje gewoon voor de leuk kijken welke info je kan vinden",31,1,2,6846
"7",4030,1,10,0,1,0,0,0,"",3,2,1,1,0,0,0,0,"",1,4,4,1,"",NA,NA,NA,"Niets",29,1,2,5481
"8",5014,1,2,1,0,0,0,0,"",2,1,1,1,0,0,0,0,"",2,1,4,1,"",NA,NA,NA,"Geen idee maar het lijkt me wel leuk om er meer info over te lezen.",33,1,2,4335
"9",2075,1,4,0,0,0,1,0,"",1,2,1,0,0,0,0,0,"",1,1,2,1,"",NA,NA,NA,"Niets",27,1,2,3328
"10",749,1,4,0,0,0,1,0,"",2,2,1,0,0,0,1,0,"",2,3,4,1,"",NA,NA,NA,"Waar ze vandaan komen",25,1,2,4416
"11",4035,1,4,0,0,0,1,0,"",1,2,1,1,0,0,0,0,"",1,1,3,1,"",NA,NA,NA,"Niets",24,1,2,5408
"12",5515,1,8,0,0,1,0,0,"",NA,NA,1,0,0,0,0,0,"",1,1,2,1,"",NA,NA,NA,"Niets",28,1,2,5237
"13",7426,1,2,0,0,0,1,0,"",2,2,0,1,1,1,0,0,"",2,1,3,1,"",NA,NA,NA,"waar de bananen vandaan komen",24,1,2,8103
"14",7248,1,2,0,0,0,1,0,"",2,2,1,1,0,0,0,0,"",2,3,2,1,"",NA,NA,NA,"of de arbeiders goed behandeld worden",30,1,1,9746
"15",113,1,4,0,0,0,1,0,"",2,2,1,1,0,1,0,0,"",2,1,3,1,"",NA,NA,NA,"Niets",26,1,2,5653
"16",4586,1,1,0,0,0,1,0,"",2,1,1,1,0,0,0,0,"",1,4,3,1,"",NA,NA,NA,"als ik ze al heb gekocht geen",20,1,2,5045
"17",8405,1,4,0,0,0,1,0,"",1,2,1,0,0,0,0,0,"",2,4,3,1,"",NA,NA,NA,"Neutraal",32,1,1,5482
"18",757,1,4,1,0,0,1,0,"",1,1,1,0,0,0,0,0,"",2,3,3,1,"",NA,NA,NA,"Geen",32,1,1,7913
"19",7897,1,4,0,0,1,0,0,"",NA,NA,1,1,0,0,0,0,"",1,1,2,1,"",NA,NA,NA,"Geen opmerkingen",30,1,1,3241
"20",1376,1,2,0,0,0,1,0,"",2,3,1,1,0,0,0,0,"",2,2,2,1,"",NA,NA,NA,"Wat de impact is op de boeren en op het milieu (het liefst ook van de reis van plantage naar supermarkt)",24,1,2,9727
"21",8643,1,3,0,0,0,1,0,"",3,3,1,0,0,0,0,0,"",1,3,5,1,"",NA,NA,NA,"Geen. Daarnaast koop ik mijn bananen niet bij de plus, maar deze optie werd niet gegeven.",25,1,2,6836
"22",8293,1,3,0,0,0,1,0,"",2,2,1,1,0,0,0,0,"",2,2,2,1,"",NA,NA,NA,"Eerlijke prijs
Duurzaam verbouwt 
Klimaatneutraal",25,1,2,3572
"23",7727,1,1,0,1,0,0,0,"",1,2,1,0,0,1,0,0,"",1,2,1,2,"2",1,1,2,"de hoeveelheid bananen en de fairtrade logo",29,1,1,2034
"24",9664,1,4,1,0,0,1,0,"",2,2,1,0,0,0,0,0,"",1,4,3,1,"",NA,NA,NA,"waar het vandaan komt, hoe geproduceerd en welke bestrijdingsmiddelen gebruikt zijn die evt. schadelijk zouden kunnen zijn",23,1,2,4586
"25",6518,1,5,0,0,0,1,0,"",3,3,1,0,0,0,0,0,"",2,4,4,1,"",NA,NA,NA,"geen, eet ze gewoon op",32,1,2,1336
"26",2563,1,1,0,0,0,1,0,"",2,1,1,1,0,0,0,0,"",1,1,3,1,"",NA,NA,NA,"hoe de mensen behandeld worden die ze plukken
",18,1,2,7255
"27",4192,1,4,1,0,0,1,0,"",3,2,1,0,0,0,0,0,"",2,4,4,1,"",NA,NA,NA,"Waarom zijn bananen krom",33,1,1,2821
"28",8308,1,1,0,0,0,1,0,"",2,2,1,0,0,0,1,0,"",2,4,3,1,"",NA,NA,NA,"ik wist niet eens dat dit kon",29,1,1,3181
"29",260,1,2,0,1,0,1,0,"",3,1,1,1,1,1,1,0,"",1,4,2,1,"",NA,NA,NA,"Waar ze precies vandaan zouden komen en Hoelang het duurt totdat het vers in de schappen ligt",22,1,1,2162
"30",667,1,4,0,0,0,1,0,"",1,1,1,1,0,0,0,0,"",1,4,2,2,"2",2,1,1,"Uit welk land ze komen en kijken welke keurmerken de bananen hebben. Ook is het interessant om te weten hoe duurzaam de bananen zijn voor het klimaat.",20,1,1,6581
"31",5932,1,2,0,0,0,1,0,"",2,2,1,0,0,1,0,0,"",2,2,3,1,"",NA,NA,NA,"welk land",34,1,2,3832
"32",1345,1,4,1,1,0,0,0,"",1,1,1,0,1,0,0,0,"",1,1,2,1,"",NA,NA,NA,"Over hoe oud ze zijn",31,1,1,6031
"33",603,1,1,0,0,0,1,0,"",2,2,1,1,0,0,1,0,"",2,3,3,1,"",NA,NA,NA,"Van welke boerderij ze komen en wie daar werken.",25,1,2,5014
"34",2616,1,4,0,0,0,1,0,"",2,2,1,1,0,0,0,0,"",1,4,2,1,"",NA,NA,NA,"Niks",21,1,2,1689
"35",7259,1,4,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",1,1,3,1,"",NA,NA,NA,"Geen",30,1,2,3319
"36",7607,1,4,0,0,0,1,0,"",2,1,1,0,0,0,0,0,"",1,4,4,1,"",NA,NA,NA,"Locatie, manier van uitoefenen landbouw icm natuurbescherming",29,1,2,3437
"37",4790,1,1,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",2,1,3,1,"",NA,NA,NA,"Waar vandaan",27,1,1,3262
"38",5274,1,4,0,0,0,1,0,"",2,2,1,1,0,0,0,0,"",2,1,4,1,"",NA,NA,NA,"Hoe ze geteeld zijn",28,1,2,5725
"39",12581,1,3,0,0,1,0,0,"",NA,NA,1,0,0,0,0,0,"",1,1,2,1,"",NA,NA,NA,"geen ik ga ervan uit dat ZE FAIRTRADE ZIJN",46,2,1,5665
"40",13114,1,7,1,1,0,1,0,"",2,2,1,1,0,1,1,0,"",1,4,2,1,"",NA,NA,NA,"Herkomst, vervoer, telers van het product",46,2,1,3312
"41",13561,1,4,1,0,0,1,0,"",2,2,1,0,0,0,0,0,"",2,4,3,1,"",NA,NA,NA,"Geen, als het Fairtrade label er op zit kan en mag ik er van uit gaan dat het goed zit. En als ik van ieder product informatie  moet gaan uitzoeken waar een Fairtrade label op zit of geen label op zit dan zou ik een dagtaak hebben.",43,2,1,1335
"42",12371,1,2,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",2,1,3,1,"",NA,NA,NA,"Leefomstandigheden",49,2,2,6228
"43",12793,1,1,0,1,0,0,0,"",2,2,1,0,0,0,0,0,"",1,2,2,2,"",2,1,1,"Waar ze vandaan komen",47,2,2,2951
"44",15534,1,2,0,1,0,0,0,"",2,2,1,0,0,0,0,0,"",2,3,2,1,"",NA,NA,NA,"Niets",37,2,1,9207
"45",15992,1,3,0,0,0,1,0,"",2,2,1,1,0,0,0,0,"",1,1,2,1,"",NA,NA,NA,"WAAR ZE verdaan komen .",44,2,1,3564
"46",19233,1,3,0,0,0,1,0,"",1,1,0,1,0,0,0,0,"",1,4,2,1,"",NA,NA,NA,"Waar het vandaan komt en hoe het naar Nederland gaat",47,2,2,8302
"47",18577,1,4,0,0,0,1,0,"",1,2,1,0,0,0,0,0,"",1,1,1,1,"",NA,NA,NA,"Niets",37,2,2,5685
"48",14277,1,4,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",2,3,1,1,"",NA,NA,NA,"Waar ze vandaan komen en of het fair-trade is.",44,2,2,7606
"49",19075,1,2,0,0,0,1,0,"",3,2,0,1,0,0,0,0,"",2,4,4,1,"",NA,NA,NA,"Klimaat en natuur",41,2,1,3079
"50",19435,1,5,0,0,0,1,0,"",1,1,1,0,0,1,1,0,"",1,1,1,1,"",NA,NA,NA,"Over klimaat",38,2,1,1441
"51",15849,1,4,1,0,0,1,0,"",1,1,1,0,0,0,0,0,"",2,4,3,1,"",NA,NA,NA,"Ik zoek geen informatie over bananen",45,2,2,3034
"52",10794,1,3,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",2,4,3,1,"",NA,NA,NA,"op welke manier de boeren hier profijt van hebben",46,2,1,2951
"53",17777,1,8,0,0,0,1,0,"",2,2,0,0,0,1,0,0,"",2,2,3,1,"",NA,NA,NA,"Niet",42,2,2,5046
"54",16283,1,4,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",2,1,2,1,"",NA,NA,NA,"waar ze verdaan komen en hoe ze geteeld worden en hoe ze hierheen komen",45,2,2,5684
"55",17485,1,4,0,0,0,1,0,"",2,2,1,1,0,0,0,0,"",2,4,3,1,"",NA,NA,NA,"Hoe ze geoogst worden",39,2,1,5764
"56",11602,1,1,0,1,0,0,0,"",2,2,1,0,0,0,0,0,"",2,4,2,1,"",NA,NA,NA,"Geen",48,2,1,3533
"57",11783,1,6,0,0,0,1,0,"",1,2,1,1,0,0,0,0,"",2,4,2,1,"",NA,NA,NA,"Geen tijd voor om daar naar te kijken",35,2,1,7606
"58",15910,1,5,0,1,0,1,0,"",2,2,1,1,0,0,0,0,"",1,3,2,1,"",NA,NA,NA,"gebruikte bestrijdingsmiddelen",43,2,1,5991
"59",16790,1,3,0,1,0,0,0,"",2,2,1,0,0,0,0,0,"",1,4,3,1,"",NA,NA,NA,"Geen",42,2,1,3208
"60",14587,1,1,0,0,0,1,0,"",2,1,1,0,0,0,1,0,"",1,3,4,1,"",NA,NA,NA,"geen",49,2,2,7622
"61",14465,1,7,0,0,0,1,0,"",2,1,0,0,0,0,1,0,"",2,4,3,1,"",NA,NA,NA,"Hoe gezond is bananen 
Meer informatie",45,2,1,3564
"62",16166,1,4,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",2,3,2,1,"",NA,NA,NA,"Wat er voor de boer overblijft in vergelijking met <U+0091>gewone<U+0092> bananen.",47,2,1,1335
"63",19735,1,4,0,0,0,1,0,"",2,2,1,1,0,0,0,0,"",2,3,3,1,"",NA,NA,NA,"Geen",37,2,1,5804
"64",11232,1,4,1,0,0,0,0,"",2,2,1,1,0,0,0,0,"",1,2,3,1,"",NA,NA,NA,"geen",36,2,1,3471
"65",15554,1,1,1,1,0,1,0,"",2,2,1,0,0,1,0,0,"",1,1,3,1,"",NA,NA,NA,"Geen. Ik vind het vooral lekker",40,2,1,5953
"66",13237,1,4,0,0,0,1,0,"",2,2,0,1,0,0,0,0,"",1,1,1,1,"",NA,NA,NA,"oorsprong",45,2,1,5623
"67",15650,1,3,0,0,0,1,0,"",2,2,1,1,0,0,0,0,"",2,1,3,1,"",NA,NA,NA,"Geen",41,2,2,3453
"68",14878,1,3,0,0,0,1,0,"",1,2,1,1,0,0,0,0,"",1,3,3,1,"",NA,NA,NA,"eigenlijk geen. Ik kijk naar de kleur en stevigheid. Niet naar de prijs. Bij de PLUS stomen ze het fruit. Erg goed.",40,2,2,4726
"69",17867,1,2,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",1,4,3,1,"",NA,NA,NA,"Daar heb ik nooit over nagedacht dus daar heb ik geen antwoord op",48,2,1,2287
